Cause,Count,Percentage,Cumulative_Percentage
Unknown,1213,12.95,12.95
Weather,904,9.65,22.6
"Weather, excluding lightning",576,6.15,28.75
Lightning,423,4.51,33.26
Other,212,2.26,35.519999999999996
Failed Protection System Equipment,64,0.68,36.199999999999996
Fire,55,0.59,36.79
"Weather, excluding lightning -",50,0.53,37.32
Lightning - Storms in the area.,38,0.41,37.73
Unknown - Weather in area.,31,0.33,38.059999999999995
Failed AC Circuit Equipment,29,0.31,38.37
"Weather, excluding lightning - Weather in area",28,0.3,38.669999999999995
"Weather, excluding lightning - High winds in the area. Notified WFEC & DCC. WFEC reported about 21 miles DTF from their Cherokee.",27,0.29,38.959999999999994
Unknown - Weather in area,26,0.28,39.239999999999995
Lightning - Severe weather in the area. Notified DCC.,25,0.27,39.51
"Weather, excluding lightning - weather in area",24,0.26,39.769999999999996
Human Error,24,0.26,40.029999999999994
Unknown - clear weather,22,0.23,40.25999999999999
Lightning - Weather in area,21,0.22,40.47999999999999
Lightning -,17,0.18,40.65999999999999
"Weather, excluding lightning - Ice Storms",16,0.17,40.82999999999999
Unknown - weather in area,16,0.17,40.99999999999999
Lightning - Weather in area.,16,0.17,41.169999999999995
"Weather, excluding lightning - Storms in the area",16,0.17,41.339999999999996
Unknown -,15,0.16,41.49999999999999
Unknown - Storms in the area,15,0.16,41.65999999999999
"Weather, excluding lightning - Ice Storm",14,0.15,41.80999999999999
Lightning - Storms in the area,14,0.15,41.95999999999999
"Failed AC Substation Equipment - The Muskogee end did not trip. Wave trap faulted at Muskogee, Breakers did no operate according to protection protocol, Breakers were cycling at all ends and would not lock open.",13,0.14,42.09999999999999
"Woodward Area Windfarm, Duration 0:00:20",12,0.13,42.22999999999999
Failed AC Circuit Equipment - Notified Centennial Windfarm of trip.,12,0.13,42.35999999999999
"Unknown - SCADA Showed Park Lane 110 to trip and reclose, also received low air alarm when breaker tripped. Arbuckle end did not show to operate. Possible Mis Op",11,0.12,42.47999999999999
"Weather, excluding lightning - Weather in the area.",11,0.12,42.59999999999999
"Weather, excluding lightning - icing and high winds reported in area.  PCB 307 operated one extra time to test line.",11,0.12,42.719999999999985
Unknown - Weather in the area.,11,0.12,42.83999999999998
Lightning - weather in area,10,0.11,42.94999999999998
"Weather, excluding lightning - PCB 388 was on outage.  Ice Storm",10,0.11,43.05999999999998
Unknown - Clear weather,10,0.11,43.16999999999998
Unknown - Storms in area.,9,0.1,43.26999999999998
Unknown - Notified DCC.,9,0.1,43.36999999999998
Unknown - Inclement Weather in the area,8,0.09,43.45999999999999
"Weather, excluding lightning - Storms in the area.",8,0.09,43.54999999999999
"Woodward Area Windfarm, Duration 0:00:10",8,0.09,43.63999999999999
Unknown - Possible weather in area,8,0.09,43.73
Unknown - Possible weather in area.,8,0.09,43.82
"Weather, excluding lightning - Storms in area",8,0.09,43.910000000000004
"Failed Protection System Equipment - Cedar Lane T116 & Wilkinson T115 did not show to operate. Notified DCC and OU Gen. No load appears to be affected or lost for any time,",8,0.09,44.00000000000001
Unknown - Storms in the area.,7,0.07,44.07000000000001
"Weather, excluding lightning - High winds and icing reported in area",7,0.07,44.14000000000001
"Weather, excluding lightning - Weather in the area",7,0.07,44.21000000000001
Lightning - Weather in the area,7,0.07,44.28000000000001
"Weather, excluding lightning - Winter storm in area. DCC notified. Enid Industrial Tap 131 is open due to previous line sectionalization.",7,0.07,44.35000000000001
Failed AC Substation Equipment,7,0.07,44.42000000000001
Unknown - Weather in the area,7,0.07,44.49000000000001
Lightning - Severe weather in the area. DCC notified.,7,0.07,44.56000000000001
"Weather, excluding lightning - Thunderstorms in the area.",7,0.07,44.63000000000001
Unknown - Storms in area,7,0.07,44.70000000000001
"Weather, excluding lightning - Known storm in area",6,0.06,44.76000000000001
"Weather, excluding lightning - Wind and icing reported in area",6,0.06,44.820000000000014
"Weather, excluding lightning - Winter Weather storm in the area. rain/sleet/snow.",6,0.06,44.88000000000002
Unknown - Weather in Area,6,0.06,44.94000000000002
Weather - Patrolled line and could not find any problems.,6,0.06,45.00000000000002
Unknown - No Inclement weather in the area.,6,0.06,45.060000000000024
"Weather, excluding lightning - Storm Cell",6,0.06,45.120000000000026
Unknown - No weather in area.,6,0.06,45.18000000000003
Lightning - Severe weather in the area.,6,0.06,45.24000000000003
Unknown - storms in area,6,0.06,45.30000000000003
Unknown - Inclement weather in the area,6,0.06,45.360000000000035
Unknown - DCC notified.,5,0.05,45.41000000000003
Lightning - storms,5,0.05,45.46000000000003
Unknown - No weather in area,5,0.05,45.510000000000026
"Human Error - Plant failed to xfer station aux prior to switching outage, Loss of 40MW",5,0.05,45.560000000000024
Unknown - No Inclement weather in the area,5,0.05,45.61000000000002
"Weather, excluding lightning - High wind day. Gusts to 50 MPH  third one today.  Took two tries.",5,0.05,45.66000000000002
"Woodward Area Windfarm, Duration 0:00:11",5,0.05,45.710000000000015
